X,Y,OBJECTID,MXLOCATION,type,status,description,GlobalID
1750929.0001,5932699.0001,1,ALB,ACSTN,COMMISSIONED,Albany,86f5a8be-24af-4de8-832b-c20f8c4a6bdb
1483256.0001,5243850.0001,2,APS,ACSTN,COMMISSIONED,Arthurs Pass,a3500dd4-eaa8-461d-87a9-755b0fbee336
1873657.0001,5721161.0001,3,ARA,ACSTN,COMMISSIONED,Aratiatia,f8a17c42-1770-40eb-865a-e67bbe35b3a3
1616837.0001,5386748.0001,4,ARG,ACSTN,COMMISSIONED,Argyle,92dc8e3a-1d5f-4adc-ae89-e946de9374de
1831847.0001,5782925.0001,5,ARI,ACSTN,COMMISSIONED,Arapuni,cc3c064f-3260-4ea5-bf56-8a0e68c28178
1503871.0001,5133909.0001,6,ASB,ACSTN,COMMISSIONED,Ashburton,68aa813f-b5c9-4482-bc3c-931f1a089c51
1569375.0001,5209968.0001,7,ASY,ACSTN,COMMISSIONED,Ashley,eeb52655-a57b-4243-93e9-0a6eb328957b
1863993.0001,5746266.0001,8,ATI,ACSTN,COMMISSIONED,Atiamuri,0feb3df2-8b8c-4c15-b65e-1e1ffa85a719
1424397.0001,5097843.0001,9,ABY,ACSTN,COMMISSIONED,Albury,7e6f1ffb-3de9-4343-a618-c42243915699
1567884.0001,5179259.0001,10,ADD,ACSTN,COMMISSIONED,Addington,01ec318c-07ea-448f-a913-489e87496c8b
1479770.0001,5314014.0001,11,ATU,ACSTN,COMMISSIONED,Atarau,a7eb273a-5197-41a1-ad30-ab60798317be
1390245.0001,5051586.0001,12,AVI,ACSTN,COMMISSIONED,Aviemore,12791a9d-0284-483d-8389-361148ef26db
1350994.0001,4875583.0001,13,BAL,ACSTN,COMMISSIONED,Balclutha,ff9fb2fa-5a84-430e-8ae0-9f4a4990092a
1279333.0001,4872602.0001,14,BDE,ACSTN,COMMISSIONED,Brydone,5061d3bb-1b9d-41de-8130-ded1e322834d
1377232.0001,5061385.0001,15,BEN,ACSTN,COMMISSIONED,Benmore AC,fa79a89c-58fa-47c0-bd36-193302e12db8
1677835.0001,5405479.0001,16,BLN,ACSTN,COMMISSIONED,Blenheim,27404fe7-e909-498b-8eee-1f7c1c54b605
1777554.0001,5882318.0001,17,BOB,ACSTN,COMMISSIONED,Bombay,06d66cab-06ea-4752-abc5-e785ad820c35
1774444.9101,5906262.7201,18,BHL,ACSTN,COMMISSIONED,Brownhill Road,1c3ed6d1-e5f6-4923-924e-0d1aca9cc9ea
1438716.0001,5027527.0001,19,BPD,ACSTN,COMMISSIONED,Bells Pond,546f21a6-8c34-4476-b08a-43cd42a9c904
1824482.0001,5537672.0001,20,BPE,ACSTN,COMMISSIONED,Bunnythorpe,272bd3fb-4fc4-4f2f-928d-61a64fd2ab0b
1426227.0301,5027118.8901,21,BPT,ACSTN,COMMISSIONED,Black Point,ba86695b-0225-4231-93bc-726f778703de
1733637.0001,6031785.0001,22,BRB,ACSTN,COMMISSIONED,Bream Bay,17f9742f-b2f4-47fc-a00f-cd7aba883341
1775381.0001,5584691.0001,23,BRK,ACSTN,COMMISSIONED,Brunswick,241b6832-0c82-462f-8c99-b89a40592b14
1575608.0001,5180029.0001,24,BRY,ACSTN,COMMISSIONED,Bromley,912dfcff-f54f-4c70-b791-a477e04db0cb
1375380.0001,4908481.0001,25,BWK,ACSTN,COMMISSIONED,Berwick,772b7090-bc44-4dd3-8690-72240255ce5f
1818482.0001,5805622.0001,26,CBG,ACSTN,COMMISSIONED,Cambridge,ab458649-f969-4bd5-a98b-2c4664715103
1496824.0001,5214719.0001,27,CLH,ACSTN,COMMISSIONED,Castle Hill,6fae53af-1ff7-4da6-8a3c-8f5a1b880b23
1300103.0001,5003434.0001,28,CML,ACSTN,COMMISSIONED,Cromwell,393a834c-f7d6-4f0b-afd7-af8ebde11a12
1480646.0001,5197734.0001,30,COL,ACSTN,COMMISSIONED,Coleridge,bcac8e6d-ddde-482d-bd38-aaaa2c698926
1748149.0001,5426363.0001,31,CPK,ACSTN,COMMISSIONED,Central Park,5490e2a2-b66d-406e-9d77-cfe0456d873a
1694035.0001,5673654.0001,32,CST,ACSTN,COMMISSIONED,Carrington Street,bd4ac2cf-9c18-494e-8cfd-c970275b9f9f
1589859.0001,5270393.0001,33,CUL,ACSTN,COMMISSIONED,Culverden,9adcaeb1-8f95-4c20-961e-abde100d593e
1309791.0001,4990371.0001,34,CYD,ACSTN,COMMISSIONED,Clyde,40567b27-50bd-400c-a995-cee209607fa3
1460288.0001,5298504.0001,35,DOB,ACSTN,COMMISSIONED,Dobson,d2fcf366-6aac-4182-a5af-6b4c336ad1ec
1774160.0001,5889442.0001,36,DRY,ACSTN,COMMISSIONED,Drury,e4362537-0b01-4bb5-a30b-101074dc0f7f
1858006.0001,5546736.0001,37,DVK,ACSTN,COMMISSIONED,Dannevirke,e0e29fdc-4e9a-4e69-8c89-f4f8e151cacd
1936284.0001,5788677.0001,38,EDG,ACSTN,COMMISSIONED,Edgecumbe,8c1b48c6-e8e0-4048-a427-47fcdddd1455
1274964.0001,4862682.0001,39,EDN,ACSTN,COMMISSIONED,Edendale,82357063-5f96-42be-92d5-0c28d7cd3a22
1923083.0001,5609948.0001,40,FHL,ACSTN,COMMISSIONED,Fernhill,0a3cf166-313d-46cf-8fcb-28af04864cb1
1264313.0001,5007062.0001,41,FKN,ACSTN,COMMISSIONED,Frankton,b55a9b99-27e7-428a-bd39-6f393fb1fe39
1760647.0001,5432797.0001,42,GFD,ACSTN,COMMISSIONED,Gracefield,cfe09e4d-5df4-4ebe-b230-fa884c0ac920
1753635.0001,5881167.0001,44,GLN,ACSTN,COMMISSIONED,Glenbrook,71f1bfb3-793f-4156-97c8-a3460ce156df
1453179.0001,5298172.0001,45,GYM,ACSTN,COMMISSIONED,Greymouth,bdce160c-f86c-431f-b4e7-ca689cdccfcb
1804621.0001,5445253.0001,46,GYT,ACSTN,COMMISSIONED,Greytown,fb16bc07-a93c-4d12-beb2-ea35dee8abc0
1802987.0001,5816159.0001,47,HAM,ACSTN,COMMISSIONED,Hamilton,c4ba0b13-ef1d-419b-ab74-b8ee267e1bc6
1766258.0001,5442603.0001,48,HAY,ACSTN,COMMISSIONED,Haywards AC,c923f2dc-d2d3-4be8-9a2b-0a44ba17f697
1744226.0001,5921548.0001,49,HEN,ACSTN,COMMISSIONED,Henderson,ad6c62ca-c407-498f-a86c-3f767c7f228d
1747934.0001,5916486.0001,50,HEP,ACSTN,COMMISSIONED,Hepburn Road,20639efb-48f8-47d5-b0db-251542979c39
1843078.0001,5799495.0001,51,HIN,ACSTN,COMMISSIONED,Hinuera,2d590846-f414-491e-b5bc-0289d0312d18
1284097.0001,4885035.0001,52,GOR,ACSTN,COMMISSIONED,Gore,d80e61dc-af54-4127-92e2-421ca9ffc046
1434864.0001,5267776.0001,53,HKK,ACSTN,COMMISSIONED,Hokitika (Westpower),db6f2e26-440a-4c75-9f8f-82a2b934fd4f
1790106.0001,5842852.0001,54,HLY,ACSTN,COMMISSIONED,Huntly,8f5ba0f2-3465-4a31-bad3-9bc84cf3d075
1757117.0001,5920840.0001,55,HOB,ACSTN,COMMISSIONED,Hobson Street,40ec5d26-25c7-4e78-ae7e-efd9a3d77e2e
1517688.0001,5178084.0001,56,HOR,ACSTN,COMMISSIONED,Hororata,e2487f66-04be-4810-8957-f388fc321603
1737565.0001,5930600.0001,57,HPI,ACSTN,COMMISSIONED,Huapai,cd52beb8-bdba-401c-b0d8-62d0a1a2bb0e
1790574.0001,5764029.0001,58,HTI,ACSTN,COMMISSIONED,Hangatiki,494a28a3-4674-4d20-a128-a46346520169
1707053.0001,5677676.0001,59,HUI,ACSTN,COMMISSIONED,Huirangi,64d4a360-6457-49c0-aaee-e919b33a9838
1712536.0001,5619536.0001,60,HWA,ACSTN,COMMISSIONED,Hawera,dad07c38-b0a7-48d9-a4ff-2fbc4975a0a9
1404021.0001,4918942.0001,61,HWB,ACSTN,COMMISSIONED,Halfway Bush,ee29a21f-9763-499f-a281-90b9dba75688
1513140.0001,5365652.0001,62,IGH,ACSTN,COMMISSIONED,Inangahua,fd8c8e05-d9a4-4eed-bc9c-51713c06416e
1245783.0001,4851991.0001,63,INV,ACSTN,COMMISSIONED,Invercargill,452574b7-6d58-4830-b641-945510ba8260
1560548.0001,5179498.0001,64,ISL,ACSTN,COMMISSIONED,Islington,22f529de-6151-4f09-a120-454b1c24d53f
1570680.0001,5196745.0001,65,KAI,ACSTN,COMMISSIONED,Kaiapoi,8e78afce-cbdd-4df9-9dd4-e0264e0e066a
1926573.0001,5779107.0001,66,KAW,ACSTN,COMMISSIONED,Kawerau,313142b0-8d2d-45a7-99aa-cc7d45c60abc
1589504.0001,5386476.0001,67,KIK,ACSTN,COMMISSIONED,Kikiwa,4740874e-38cd-4f7c-a60e-be3950188b81
1852212.0001,5760024.0001,68,KIN,ACSTN,COMMISSIONED,Kinleith,4659dc55-5966-42e2-9dd4-f7b5af767a50
1823029.0001,5799542.0001,69,KPO,ACSTN,COMMISSIONED,Karapiro,4469af4c-2332-4b52-9c97-a05fa963a1ac
1830938.0001,5880678.0001,70,KPU,ACSTN,COMMISSIONED,Kopu,5467632b-cfa2-444e-ba55-2e0b3f4820d8
1452052.0001,5278084.0001,72,KUM,ACSTN,COMMISSIONED,Kumara,14420f0d-6924-4681-afdc-4a59a52abb7c
1750000.0001,5430943.0001,73,KWA,ACSTN,COMMISSIONED,Kaiwharawhara,920f8b90-43f6-4e49-a819-d51a4e60e45f
1847524.0001,5775603.0001,74,LFD,ACSTN,COMMISSIONED,Lichfield,11619149-df1b-43c7-acef-cacc762acbb5
1879255.0001,5818364.0001,76,KMO,ACSTN,COMMISSIONED,Kaitimako,c9203430-92fb-4d3e-bf31-ed6cb1151f45
1673612.0001,6082717.0001,77,KOE,ACSTN,COMMISSIONED,Kaikohe,fa9c66cf-7dda-40fa-b600-7d322c69ed3b
1413503.0001,5021769.0001,78,LIV,ACSTN,COMMISSIONED,Livingstone,d452a179-5e3c-40b8-8209-ade0311bb096
1823280.0001,5523362.0001,79,LTN,ACSTN,COMMISSIONED,Linton,29a05bc3-95cf-43a9-a52e-e8f1040369cb
1153139.0001,4943246.0001,80,MAN,ACSTN,COMMISSIONED,Manapouri,37464b5a-496d-4554-affe-e475cbb177ea
1934456.0001,5774722.0001,81,MAT,ACSTN,COMMISSIONED,Matahina,ab74ca0a-f097-4ddb-85cb-3854eb23c50c
1544903.0001,5373459.0001,82,MCH,ACSTN,COMMISSIONED,Murchison,329a5226-054c-414d-b565-f5d09e507f8e
1732421.0001,6028845.0001,83,MDN,ACSTN,COMMISSIONED,Marsden,c4b4e963-5a61-4b1e-a82d-13017ca4184e
1783300.0001,5868174.0001,84,MER,ACSTN,COMMISSIONED,Meremere,32cedfbf-142b-47cf-9b19-fa31f83cc612
1833130.0001,5511184.0001,85,MGM,ACSTN,COMMISSIONED,Mangamaire,fab533fc-8780-469b-83a9-291325545039
1807282.0001,5505363.0001,86,MHO,ACSTN,COMMISSIONED,Mangahao,0d4998cd-4c77-4162-bca2-d42ab6e54ab2
1760654.0001,5437236.0001,87,MLG,ACSTN,COMMISSIONED,Melling,23da9d40-16cf-45b6-92f8-35ab0d6c181a
1762702.0001,5907696.0001,88,MNG,ACSTN,COMMISSIONED,Mangere,c56795cc-5b30-4bd1-a3fc-730f1daed4b8
1711561.0001,5683109.0001,89,MNI,ACSTN,COMMISSIONED,Motunui,6db893f4-9e1f-4e63-b180-09a53b539a4f
1709127.0001,6041290.0001,91,MPE,ACSTN,COMMISSIONED,Maungatapere,9fb0503b-d20c-4f07-8e50-a7f27eda319b
1839768.0001,5751500.0001,93,MTI,ACSTN,COMMISSIONED,Maraetai,fc7c04b4-a6a2-4c84-98e4-16dbadc06b61
1883459.0001,5825059.0001,94,MTM,ACSTN,COMMISSIONED,Mt Maunganui,deb5bce3-b16e-4ba7-b6da-b10d4c85dbed
1801201.0001,5558141.0001,95,MTN,ACSTN,COMMISSIONED,Marton,5caff896-d9c6-43e8-a6d5-8e9ec74c9efa
1722370.0001,6005583.0001,96,MTO,ACSTN,COMMISSIONED,Maungaturoto,f0af0177-1669-425f-b98d-26c95a286c7b
1831802.0001,5606722.0001,97,MTR,ACSTN,COMMISSIONED,Mataroa,b4fd912b-3ade-4c60-aa90-b2b06216e7ea
1819725.0001,5460470.0001,98,MST,ACSTN,COMMISSIONED,Masterton,575ec08a-bcfa-4484-b8a9-0fc94d084288
1877217.0001,5721300.0001,99,NAP,ACSTN,COMMISSIONED,Nga Awa Purua,c734ab38-ae6c-43f1-8754-6b00802e2648
1242674.0001,4861597.0001,100,NMA,ACSTN,COMMISSIONED,North Makarewa,172fbfc8-ce89-426c-a4b9-3fb58c516fee
1807260.0001,5662951.0001,101,NPK,ACSTN,COMMISSIONED,National Park,c595bc14-ce50-42fe-816b-50f873d52d89
1688836.0001,5676251.0001,102,NPL,ACSTN,COMMISSIONED,New Plymouth,eb73eb8d-8646-4c15-a36b-8b7d36fca4ef
1371044.0001,5009246.0001,103,NSY,ACSTN,COMMISSIONED,Naseby,2a854451-2755-4508-a29a-b09042e79b10
1436054.0001,5007238.0001,104,OAM,ACSTN,COMMISSIONED,Oamaru,bb6a42fd-b927-4e02-a411-b6dc414ccece
1362893.0001,5094306.0001,105,OHA,ACSTN,COMMISSIONED,Ohau A,a6baa64f-9e47-436b-8351-00a1ce95e732
1369523.0001,5090583.0001,106,OHB,ACSTN,COMMISSIONED,Ohau B,9f07917a-c71e-417e-b8a5-5c73107ce551
1375191.0001,5086131.0001,107,OHC,ACSTN,COMMISSIONED,Ohau C,92a5f29d-2006-4a0f-baf3-60f740bb2c85
1869460.0001,5744407.0001,108,OHK,ACSTN,COMMISSIONED,Ohakuri,a4fbef3d-fe8a-4972-8fd0-f1c9ac6a0527
1803061.8834,5849623.942,109,OHW,ACSTN,COMMISSIONED,Ohinewai,8d76da40-e4e2-4ae9-827d-4ff91168ad94
1893222.0001,5785558.0001,110,OKE,ACSTN,COMMISSIONED,Okere,c6700f33-e6e4-448b-8bfd-bcee497212b8
1887000.0001,5730455.0001,111,OKI,ACSTN,COMMISSIONED,Ohaaki,70ef8529-d674-4278-99c5-048724961825
1803835.0001,5633184.0001,112,OKN,ACSTN,COMMISSIONED,Ohakune,b79f5699-6466-429e-bda3-7f8d56904a01
1789617.0001,5709183.0001,113,ONG,ACSTN,COMMISSIONED,Ongarue,4cc34bcb-20ad-4bd4-ad87-7bc6c5b5b7af
1679853.0001,5639246.0001,114,OPK,ACSTN,COMMISSIONED,Opunake,ec8233a3-815e-492a-930e-6aa757ad8de6
1765841.0001,5908477.0001,115,OTA,ACSTN,COMMISSIONED,Otahuhu,929a843f-abd1-4d38-9d2e-0e4c8c4b347b
